calendar_day,calendar_week,calendar_month,calendar_year,week_of_year,day_of_week,week_of_month
01-01-18,1,1,2018,1,0,1
01-02-18,1,1,2018,1,1,1
01-03-18,1,1,2018,1,2,1
01-04-18,1,1,2018,1,3,1
01-05-18,1,1,2018,1,4,1
01-06-18,1,1,2018,1,5,1
01-07-18,1,1,2018,1,6,1
01-08-18,2,1,2018,2,0,2
01-09-18,2,1,2018,2,1,2
01-10-18,2,1,2018,2,2,2
01-11-18,2,1,2018,2,3,2
01-12-18,2,1,2018,2,4,2
01-13-18,2,1,2018,2,5,2
01-14-18,2,1,2018,2,6,2
01-15-18,3,1,2018,3,0,3
01-16-18,3,1,2018,3,1,3
01-17-18,3,1,2018,3,2,3
01-18-18,3,1,2018,3,3,3
01-19-18,3,1,2018,3,4,3
01-20-18,3,1,2018,3,5,3
01-21-18,3,1,2018,3,6,3
01-22-18,4,1,2018,4,0,4
01-23-18,4,1,2018,4,1,4
01-24-18,4,1,2018,4,2,4
01-25-18,4,1,2018,4,3,4
01-26-18,4,1,2018,4,4,4
01-27-18,4,1,2018,4,5,4
01-28-18,4,1,2018,4,6,4
01-29-18,5,1,2018,5,0,5
01-30-18,5,1,2018,5,1,5
01-31-18,5,1,2018,5,2,5
02-01-18,5,2,2018,5,3,1
02-02-18,5,2,2018,5,4,1
02-03-18,5,2,2018,5,5,1
02-04-18,5,2,2018,5,6,1
02-05-18,6,2,2018,6,0,2
02-06-18,6,2,2018,6,1,2
02-07-18,6,2,2018,6,2,2
02-08-18,6,2,2018,6,3,2
02-09-18,6,2,2018,6,4,2
02-10-18,6,2,2018,6,5,2
02-11-18,6,2,2018,6,6,2
02-12-18,7,2,2018,7,0,3
02-13-18,7,2,2018,7,1,3
02-14-18,7,2,2018,7,2,3
02-15-18,7,2,2018,7,3,3
02-16-18,7,2,2018,7,4,3
02-17-18,7,2,2018,7,5,3
02-18-18,7,2,2018,7,6,3
02-19-18,8,2,2018,8,0,4
02-20-18,8,2,2018,8,1,4
02-21-18,8,2,2018,8,2,4
02-22-18,8,2,2018,8,3,4
02-23-18,8,2,2018,8,4,4
02-24-18,8,2,2018,8,5,4
02-25-18,8,2,2018,8,6,4
02-26-18,9,2,2018,9,0,5
02-27-18,9,2,2018,9,1,5
02-28-18,9,2,2018,9,2,5
03-01-18,9,3,2018,9,3,1
03-02-18,9,3,2018,9,4,1
03-03-18,9,3,2018,9,5,1
03-04-18,9,3,2018,9,6,1
03-05-18,10,3,2018,10,0,2
03-06-18,10,3,2018,10,1,2
03-07-18,10,3,2018,10,2,2
03-08-18,10,3,2018,10,3,2
03-09-18,10,3,2018,10,4,2
03-10-18,10,3,2018,10,5,2
03-11-18,10,3,2018,10,6,2
03-12-18,11,3,2018,11,0,3
03-13-18,11,3,2018,11,1,3
03-14-18,11,3,2018,11,2,3
03-15-18,11,3,2018,11,3,3
03-16-18,11,3,2018,11,4,3
03-17-18,11,3,2018,11,5,3
03-18-18,11,3,2018,11,6,3
03-19-18,12,3,2018,12,0,4
03-20-18,12,3,2018,12,1,4
03-21-18,12,3,2018,12,2,4
03-22-18,12,3,2018,12,3,4
03-23-18,12,3,2018,12,4,4
03-24-18,12,3,2018,12,5,4
03-25-18,12,3,2018,12,6,4
03-26-18,13,3,2018,13,0,5
03-27-18,13,3,2018,13,1,5
03-28-18,13,3,2018,13,2,5
03-29-18,13,3,2018,13,3,5
03-30-18,13,3,2018,13,4,5
03-31-18,13,3,2018,13,5,5
04-01-18,13,4,2018,13,6,1
04-02-18,14,4,2018,14,0,2
04-03-18,14,4,2018,14,1,2
04-04-18,14,4,2018,14,2,2
04-05-18,14,4,2018,14,3,2
04-06-18,14,4,2018,14,4,2
04-07-18,14,4,2018,14,5,2
04-08-18,14,4,2018,14,6,2
04-09-18,15,4,2018,15,0,3
04-10-18,15,4,2018,15,1,3
04-11-18,15,4,2018,15,2,3
04-12-18,15,4,2018,15,3,3
04-13-18,15,4,2018,15,4,3
04-14-18,15,4,2018,15,5,3
04-15-18,15,4,2018,15,6,3
04-16-18,16,4,2018,16,0,4
04-17-18,16,4,2018,16,1,4
04-18-18,16,4,2018,16,2,4
04-19-18,16,4,2018,16,3,4
