customer_id,store_pref,start_date,end_date,price_sens,purch_freq,promo_sens,basket_size,repurchase_frequency
0,83,0,155,1,2,0,0,0
1,61,0,155,1,2,1,0,2
2,11,0,155,1,1,0,1,0
3,90,0,155,0,2,1,2,0
4,26,0,155,1,0,0,0,2
5,42,0,155,2,2,1,1,0
6,14,0,155,0,2,1,2,2
7,84,0,155,2,2,0,2,0
8,34,0,155,2,1,0,1,0
9,19,0,155,0,2,0,0,1
10,34,0,155,0,1,0,1,1
11,18,0,155,0,1,0,1,0
12,66,0,155,0,2,0,1,0
13,26,0,155,0,2,0,2,0
14,89,0,155,0,2,0,0,0
15,64,0,155,0,2,0,0,0
16,77,0,155,0,0,0,1,0
17,37,0,155,0,0,1,1,0
18,22,0,155,2,2,1,0,0
19,15,0,155,0,2,0,0,1
20,23,0,155,2,0,0,0,0
21,10,0,155,0,2,1,1,0
22,0,0,155,0,1,0,2,2
23,12,0,155,0,1,0,0,2
24,15,0,155,0,0,0,1,1
25,36,0,155,1,2,0,1,1
26,93,0,155,1,1,1,2,0
27,93,0,155,0,1,1,2,0
28,2,0,155,0,0,1,2,0
29,7,0,155,0,1,0,1,0
30,9,0,155,0,0,0,1,0
31,25,0,155,0,2,0,0,1
32,15,0,155,0,2,0,2,1
33,94,0,155,1,1,1,1,0
34,33,0,155,0,1,0,2,0
35,17,0,155,0,1,0,1,2
36,98,0,155,1,0,0,2,2
37,2,0,155,0,0,0,1,1
38,65,0,155,1,2,0,1,0
39,51,0,155,1,2,0,1,1
40,44,0,155,1,2,0,2,1
41,84,0,155,0,2,0,1,0
42,94,0,155,0,1,0,0,0
43,97,0,155,0,2,1,1,0
44,41,0,155,2,2,0,2,1
45,92,0,155,1,1,2,2,1
46,79,0,155,0,2,0,1,0
47,82,0,155,0,2,2,1,0
48,30,0,155,0,2,0,2,2
49,23,0,155,0,2,0,0,1
50,84,0,155,0,1,0,0,2
51,80,0,155,0,2,0,1,1
52,62,0,155,0,1,0,1,1
53,35,0,155,0,0,0,1,0
54,14,0,155,0,1,1,1,0
55,69,0,155,1,2,0,1,1
56,2,0,155,0,1,0,1,0
57,71,0,155,0,2,0,0,1
58,11,0,155,1,0,2,1,0
59,20,0,155,0,2,0,1,1
60,21,0,155,1,0,0,1,1
61,79,0,155,0,0,0,2,0
62,71,0,155,0,1,0,1,1
63,74,0,155,0,2,0,1,2
64,12,0,155,1,2,0,0,0
65,6,0,155,0,2,0,1,1
66,59,0,155,0,0,0,1,0
67,39,0,155,0,0,1,1,0
68,86,0,155,2,2,0,1,1
69,49,0,155,1,0,0,0,1
70,99,0,155,0,2,2,0,0
71,91,0,155,0,2,0,0,0
72,65,0,155,0,0,1,0,0
73,36,0,155,0,0,0,2,1
74,78,0,155,0,2,0,2,2
75,64,0,155,1,0,0,0,1
76,27,0,155,0,1,1,1,1
77,40,0,155,1,2,0,1,1
78,84,0,155,0,1,0,1,2
79,31,0,155,0,2,0,2,1
80,39,0,155,1,0,2,1,2
81,85,0,155,0,0,0,1,0
82,64,0,155,2,2,0,1,2
83,92,0,155,2,1,0,0,0
84,65,0,155,0,2,0,0,0
85,79,0,155,0,0,2,1,2
86,97,0,155,1,1,1,1,1
87,29,0,155,2,2,0,1,2
88,38,0,155,0,2,1,0,1
89,90,0,155,0,0,0,2,0
90,47,0,155,2,0,0,1,1
91,83,0,155,0,0,0,1,0
92,74,0,155,1,1,0,1,1
93,44,0,155,0,2,0,1,0
94,91,0,155,1,0,0,1,1
95,9,0,155,0,0,0,1,0
96,17,0,155,0,2,0,2,1
97,31,0,155,1,0,0,2,0
98,22,0,155,0,2,0,0,0
99,58,0,155,2,2,0,1,1
100,37,0,155,0,1,0,1,1
101,37,0,155,0,0,0,0,1
102,98,0,155,0,0,0,1,0
103,86,0,155,0,1,1,1,0
104,15,0,155,1,1,0,0,1
105,38,0,155,0,1,0,2,0
106,92,0,155,0,1,0,1,0
107,64,0,155,0,2,1,2,0
108,30,0,155,0,0,1,2,0
109,5,0,155,1,1,0,1,0
110,59,0,155,0,2,2,1,1
111,63,0,155,0,1,1,1,0
112,50,0,155,0,2,1,0,0
113,10,0,155,0,2,1,1,0
114,87,0,155,1,0,0,1,1
115,40,0,155,0,1,1,1,0
116,22,0,155,0,2,1,2,0
117,24,0,155,2,0,1,1,0
118,95,0,155,0,0,0,0,0
119,18,0,155,0,1,0,0,0
120,15,0,155,1,0,0,0,0
121,67,0,155,1,0,2,0,0
122,90,0,155,1,2,0,1,0
123,92,0,155,0,2,0,0,1
124,37,0,155,0,2,0,1,2
125,41,0,155,0,0,0,1,1
126,52,0,155,0,2,1,1,0
127,92,0,155,0,0,0,1,2
128,4,0,155,1,2,0,1,0
129,23,0,155,1,2,1,0,1
130,47,0,155,0,0,0,0,0
131,10,0,155,1,2,0,0,0
132,19,0,155,2,0,0,2,0
133,70,0,155,0,1,0,1,0
134,73,0,155,0,2,0,1,0
135,65,0,155,1,1,0,0,0
136,59,0,155,0,0,0,1,0
137,88,0,155,1,0,0,0,0
138,26,0,155,2,0,2,2,1
139,86,0,155,2,1,0,1,0
140,57,0,155,0,2,0,2,1
141,40,0,155,1,2,0,1,2
142,48,0,155,0,2,2,1,1
143,18,0,155,1,0,0,2,2
144,39,0,155,0,2,0,1,0
145,67,0,155,1,2,1,0,0
146,94,0,155,0,2,0,1,0
147,41,0,155,0,2,0,2,1
148,37,0,155,1,2,0,0,2
149,85,0,155,1,1,0,0,0
150,78,0,155,0,2,0,0,0
151,32,0,155,2,2,0,0,2
152,51,0,155,1,1,2,2,2
153,69,0,155,0,1,0,2,0
154,30,0,155,0,0,0,1,0
155,35,0,155,0,0,0,0,2
156,76,0,155,1,2,0,0,0
157,64,0,155,0,1,0,2,0
158,40,0,155,0,0,0,1,1
159,40,0,155,0,2,2,1,0
160,91,0,155,1,1,1,2,1
161,7,0,155,2,2,0,2,1
162,83,0,155,1,1,2,0,0
163,98,0,155,1,1,0,0,0
164,10,0,155,1,0,0,1,2
165,95,0,155,0,0,1,0,0
166,60,0,155,0,0,0,1,0
167,1,0,155,0,2,2,2,2
168,63,0,155,0,2,0,0,1
169,27,0,155,0,1,0,0,0
170,0,0,155,0,2,0,1,0
171,50,0,155,0,0,1,1,0
172,88,0,155,1,1,0,0,0
173,25,0,155,1,1,0,1,0
174,66,0,155,0,2,0,2,1
175,84,0,155,0,1,0,1,0
176,87,0,155,1,2,2,0,1
177,21,0,155,0,1,0,1,1
178,83,0,155,2,2,0,2,0
179,88,0,155,1,1,0,1,2
180,98,0,155,1,2,0,2,0
181,9,0,155,1,2,0,1,1
182,75,0,155,1,2,0,0,0
183,28,0,155,0,1,0,1,1
184,83,0,155,2,1,2,2,0
185,71,0,155,0,0,0,2,0
186,62,0,155,0,1,1,0,1
187,83,0,155,1,2,0,0,2
188,33,0,155,1,1,0,1,1
189,83,0,155,1,1,1,2,0
190,21,0,155,1,1,0,2,1
191,34,0,155,2,2,1,0,0
192,75,0,155,0,2,0,2,0
193,97,0,155,0,0,0,1,0
194,28,0,155,0,0,0,0,1
195,67,0,155,0,2,0,1,0
196,86,0,155,0,1,2,1,0
197,6,0,155,0,1,1,2,1
198,63,0,155,0,2,0,1,1
199,98,0,155,0,0,0,1,0
200,3,0,155,0,0,1,0,0
201,14,0,155,0,0,2,1,2
202,51,0,155,0,1,1,1,1
203,48,0,155,0,1,1,1,0
204,5,0,155,1,0,0,1,0
205,17,0,155,0,2,0,0,2
206,30,0,155,1,0,0,1,0
207,65,0,155,0,0,0,1,0
208,42,0,155,0,0,1,1,0
209,18,0,155,2,1,0,1,0
210,12,0,155,0,0,2,1,0
211,27,0,155,2,2,0,1,2
212,69,0,155,0,0,0,1,0
213,27,0,155,0,0,0,2,1
214,41,0,155,2,2,1,1,0
215,63,0,155,0,2,0,1,0
216,75,0,155,0,1,0,1,0
217,15,0,155,0,1,0,1,0
218,60,0,155,2,1,0,1,0
219,99,0,155,0,2,0,1,2
220,19,0,155,1,0,0,1,0
221,43,0,155,0,1,0,1,0
222,48,0,155,0,0,0,1,1
223,70,0,155,0,2,1,0,0
224,81,0,155,0,2,0,2,0
225,56,0,155,1,2,0,1,1
226,47,0,155,0,1,1,1,1
227,32,0,155,1,0,1,1,0
228,80,0,155,0,2,0,1,2
229,47,0,155,2,0,2,1,2
230,95,0,155,0,2,1,1,1
231,92,0,155,0,1,0,1,0
232,67,0,155,0,1,2,0,1
233,40,0,155,0,2,0,0,0
234,29,0,155,0,0,0,1,0
235,44,0,155,0,1,0,1,0
236,83,0,155,0,2,2,1,0
237,38,0,155,0,2,0,0,0
238,61,0,155,0,1,0,0,2
239,38,0,155,0,0,0,2,1
240,9,0,155,1,2,0,1,2
241,92,0,155,1,0,0,1,2
242,3,0,155,0,0,0,1,0
243,7,0,155,0,1,0,0,1
244,48,0,155,1,2,2,1,2
245,97,0,155,0,0,0,1,1
246,27,0,155,1,0,0,2,1
247,47,0,155,0,2,0,0,1
248,72,0,155,0,0,2,1,1
249,87,0,155,0,0,0,0,0
250,27,0,155,0,1,0,0,2
251,48,0,155,1,1,0,1,0
252,27,0,155,0,1,0,1,1
253,59,0,155,1,1,0,1,1
254,34,0,155,0,1,0,2,2
255,20,0,155,1,1,0,1,2
256,14,0,155,0,0,1,1,0
257,84,0,155,0,1,0,1,0
258,14,0,155,0,2,0,1,1
259,22,0,155,0,1,0,2,2
260,82,0,155,2,2,0,1,1
261,3,0,155,0,2,2,1,0
262,21,0,155,0,0,0,0,0
263,66,0,155,1,2,0,2,0
264,46,0,155,1,0,0,1,0
265,91,0,155,0,0,0,1,2
266,14,0,155,1,2,0,0,0
267,92,0,155,1,2,0,1,0
268,45,0,155,0,1,0,1,1
269,34,0,155,0,2,0,1,0
270,67,0,155,0,1,1,0,1
271,60,0,155,0,0,1,1,0
272,14,0,155,0,1,0,2,1
273,5,0,155,0,1,0,1,0
274,0,0,155,0,1,0,2,0
275,19,0,155,0,0,0,1,0
276,3,0,155,0,1,0,0,2
277,9,0,155,0,0,0,2,2
278,28,0,155,0,1,0,1,0
279,7,0,155,0,2,0,1,1
280,16,0,155,2,2,0,0,2
281,44,0,155,0,2,0,1,0
282,62,0,155,0,1,0,0,1
283,37,0,155,0,0,0,1,0
284,47,0,155,0,0,0,2,1
285,6,0,155,0,1,2,1,2
286,57,0,155,0,2,1,1,1
287,39,0,155,2,0,1,2,1
288,65,0,155,1,0,0,1,2
289,6,0,155,1,1,0,1,2
290,1,0,155,1,1,0,1,0
291,41,0,155,2,0,0,0,2
