prod_id,prod_dept,dept_label,prod_class,class_labels,prod_subclass,subclass_labels,subclass_coefficients,prod_base_price,prod_md1,start_date,end_date,md1_week,pareto_weights,margin
0,13,department_13,1,class_131,1,subclass_1311,0,340.0,340.0,0,155,155,2.2423362080226958e-07,170.0
1,4,department_4,0,class_40,1,subclass_401,1,34.0,34.0,0,155,155,0.00020630352118086804,10.2
2,12,department_12,0,class_120,1,subclass_1201,2,543.75,543.75,0,155,155,8.125243940441969e-08,163.12
3,7,department_7,0,class_70,1,subclass_701,3,100.0,100.0,0,155,155,8.509130940666356e-06,50.0
4,4,department_4,0,class_40,0,subclass_400,4,53.43,53.43,0,155,155,8.353695953872392e-05,16.03
5,15,department_15,0,class_150,1,subclass_1501,5,723.2,723.2,0,155,155,2.862973397200365e-08,361.6
6,2,department_2,0,class_20,0,subclass_200,6,13.33,13.33,0,155,155,0.004453507568384692,6.66
7,17,department_17,0,class_170,1,subclass_1701,7,1063.33,1063.33,0,155,155,7.366822650632713e-09,319.0
8,2,department_2,0,class_20,0,subclass_200,8,16.67,16.67,0,155,155,0.0028476789111102027,8.34
9,2,department_2,0,class_20,1,subclass_201,9,15.0,15.0,0,155,155,0.0035170605533506277,7.5
10,12,department_12,1,class_121,0,subclass_1210,10,290.0,290.0,0,155,155,3.3275503286080915e-07,145.0
11,2,department_2,0,class_20,1,subclass_201,11,13.33,13.33,0,155,155,0.004453507568384692,6.66
12,3,department_3,0,class_30,1,subclass_301,12,40.0,40.0,0,155,155,0.00025119543689334605,20.0
13,3,department_3,0,class_30,1,subclass_301,13,30.0,30.0,0,155,155,0.00044657355297381054,9.0
14,2,department_2,0,class_20,0,subclass_200,14,18.33,18.33,0,155,155,0.0023552506340950696,5.5
15,19,department_19,1,class_191,1,subclass_1911,15,724.0,724.0,0,155,155,1.499420175358876e-08,217.2
16,2,department_2,0,class_20,1,subclass_201,16,13.33,13.33,0,155,155,0.004453507568384692,4.0
17,2,department_2,0,class_20,1,subclass_201,17,15.0,15.0,0,155,155,0.0035170605533506277,3.0
18,3,department_3,0,class_30,0,subclass_300,18,20.0,20.0,0,155,155,0.001004796741775138,10.0
19,3,department_3,0,class_30,1,subclass_301,19,30.0,30.0,0,155,155,0.00044657355297381054,15.0
20,15,department_15,0,class_150,0,subclass_1500,20,452.0,452.0,0,155,155,8.10891038801955e-08,226.0
21,8,department_8,0,class_80,1,subclass_801,21,195.0,195.0,0,155,155,1.694735825593457e-06,58.5
22,13,department_13,0,class_130,0,subclass_1300,22,340.0,340.0,0,155,155,2.150643532801309e-07,170.0
23,17,department_17,0,class_170,1,subclass_1701,23,773.33,773.33,0,155,155,1.8379357682186925e-08,154.67
24,6,department_6,1,class_61,0,subclass_610,24,120.25,120.25,0,155,155,6.923417953499835e-06,36.07
25,17,department_17,1,class_171,1,subclass_1711,25,966.67,966.67,0,155,155,9.36473474984407e-09,483.34
26,17,department_17,2,class_172,0,subclass_1720,26,773.33,773.33,0,155,155,1.4688181974760086e-08,386.66
27,9,department_9,1,class_91,0,subclass_910,27,218.67,218.67,0,155,155,1.1403893941853278e-06,65.6
28,9,department_9,1,class_91,0,subclass_910,28,273.33,273.33,0,155,155,7.280901373532469e-07,82.0
29,3,department_3,0,class_30,1,subclass_301,29,40.0,40.0,0,155,155,0.00025119543689334605,12.0
30,6,department_6,2,class_62,0,subclass_620,30,92.5,92.5,0,155,155,1.2729391435295858e-05,27.75
31,2,department_2,0,class_20,0,subclass_200,31,16.67,16.67,0,155,155,0.0028476789111102027,8.34
32,19,department_19,0,class_190,0,subclass_1900,32,905.0,905.0,0,155,155,1.0051351245358104e-08,452.5
33,12,department_12,1,class_121,1,subclass_1211,33,471.25,471.25,0,155,155,1.2290843219950398e-07,141.38
34,2,department_2,0,class_20,1,subclass_201,34,11.67,11.67,0,155,155,0.005810598869568237,5.84
35,13,department_13,1,class_131,1,subclass_1311,35,425.0,425.0,0,155,155,1.4171021310302186e-07,127.5
36,17,department_17,2,class_172,0,subclass_1720,36,966.67,966.67,0,155,155,7.600936750028478e-09,290.0
37,14,department_14,0,class_140,0,subclass_1400,37,459.67,459.67,0,155,155,9.041548767878937e-08,137.9
38,8,department_8,2,class_82,1,subclass_821,38,260.0,260.0,0,155,155,9.043364712101927e-07,130.0
39,3,department_3,0,class_30,1,subclass_301,39,30.0,30.0,0,155,155,0.00044657355297381054,9.0
40,9,department_9,2,class_92,0,subclass_920,40,191.33,191.33,0,155,155,1.179138414617132e-06,57.4
41,12,department_12,1,class_121,0,subclass_1210,41,435.0,435.0,0,155,155,1.451144216874728e-07,217.5
42,12,department_12,0,class_120,1,subclass_1201,42,398.75,398.75,0,155,155,1.5538510628197388e-07,119.62
43,14,department_14,0,class_140,0,subclass_1400,43,394.0,394.0,0,155,155,1.2487226603775958e-07,78.8
44,9,department_9,0,class_90,0,subclass_900,44,191.33,191.33,0,155,155,1.370212685899939e-06,57.4
45,12,department_12,1,class_121,0,subclass_1210,45,398.75,398.75,0,155,155,1.736482005766413e-07,199.38
46,13,department_13,1,class_131,0,subclass_1310,46,425.0,425.0,0,155,155,1.4171021310302186e-07,212.5
47,3,department_3,0,class_30,1,subclass_301,47,20.0,20.0,0,155,155,0.001004796741775138,10.0
48,2,department_2,0,class_20,1,subclass_201,48,20.0,20.0,0,155,155,0.0019783443746053055,6.0
49,3,department_3,0,class_30,0,subclass_300,49,30.0,30.0,0,155,155,0.00044657355297381054,15.0
50,8,department_8,2,class_82,1,subclass_821,50,162.5,162.5,0,155,155,2.3228983512099594e-06,48.75
51,3,department_3,0,class_30,0,subclass_300,51,20.0,20.0,0,155,155,0.001004796741775138,6.0
52,3,department_3,0,class_30,1,subclass_301,52,25.0,25.0,0,155,155,0.0006430681154318777,7.5
