,promo_id,promo_cat,promo_discount,start_date,end_date,promo_prods,promo_stores,BX
0,0,0,0.5,3,4,328,84,0
0,0,2,0.1,3,4,638,80,0
0,0,2,0.1,3,4,423,49,0
0,0,0,0.5,3,4,531,36,0
0,0,2,0.1,3,4,525,39,0
0,0,2,0.1,3,4,642,77,0
0,0,3,0.25,3,4,293,56,3
0,0,2,0.1,3,4,408,9,0
0,0,1,0.25,3,4,278,90,0
0,0,2,0.1,3,4,189,76,0
0,0,1,0.25,3,4,146,37,0
0,0,1,0.25,3,4,564,55,0
0,0,2,0.1,3,4,667,63,0
0,0,1,0.25,3,4,374,20,0
0,0,1,0.25,3,4,186,91,0
0,0,2,0.1,3,4,311,34,0
0,0,1,0.25,3,4,220,31,0
0,0,1,0.25,3,4,281,78,0
0,0,2,0.1,3,4,529,57,0
0,0,3,0.25,3,4,212,8,3
1,1,1,0.25,131,132,39,6,0
1,1,2,0.1,131,132,167,0,0
1,1,1,0.25,131,132,312,7,0
1,1,0,0.5,131,132,75,51,0
1,1,4,0.17,131,132,177,84,0
1,1,2,0.1,131,132,654,88,0
1,1,2,0.1,131,132,491,14,0
1,1,1,0.25,131,132,470,72,0
1,1,1,0.25,131,132,485,23,0
1,1,2,0.1,131,132,677,80,0
1,1,1,0.25,131,132,510,34,0
1,1,2,0.1,131,132,315,64,0
1,1,4,0.23,131,132,345,31,0
1,1,1,0.25,131,132,93,65,0
1,1,2,0.1,131,132,600,38,0
1,1,2,0.1,131,132,402,21,0
2,2,2,0.1,48,49,409,23,0
2,2,1,0.25,48,49,195,47,0
2,2,1,0.25,48,49,65,36,0
2,2,1,0.25,48,49,554,74,0
2,2,2,0.1,48,49,103,97,0
2,2,2,0.1,48,49,518,18,0
2,2,1,0.25,48,49,613,33,0
2,2,3,0.25,48,49,378,84,3
2,2,1,0.25,48,49,469,95,0
2,2,2,0.1,48,49,405,32,0
2,2,2,0.1,48,49,429,60,0
2,2,3,0.33,48,49,488,15,2
2,2,2,0.1,48,49,482,16,0
2,2,1,0.25,48,49,362,3,0
2,2,2,0.1,48,49,316,63,0
3,3,1,0.25,145,146,263,68,0
3,3,2,0.1,145,146,570,2,0
3,3,1,0.25,145,146,107,9,0
3,3,1,0.25,145,146,469,72,0
3,3,2,0.1,145,146,154,99,0
3,3,2,0.1,145,146,75,24,0
3,3,1,0.25,145,146,467,51,0
3,3,2,0.1,145,146,94,37,0
3,3,3,0.5,145,146,41,22,1
3,3,4,0.2,145,146,413,67,0
3,3,2,0.1,145,146,146,96,0
4,4,2,0.1,18,19,688,3,0
4,4,1,0.25,18,19,446,50,0
4,4,0,0.5,18,19,92,52,0
4,4,2,0.1,18,19,256,36,0
4,4,2,0.1,18,19,425,80,0
4,4,2,0.1,18,19,393,11,0
4,4,0,0.5,18,19,433,81,0
4,4,2,0.1,18,19,267,5,0
4,4,1,0.25,18,19,124,91,0
4,4,1,0.25,18,19,620,72,0
4,4,0,0.5,18,19,192,62,0
4,4,3,0.25,18,19,551,84,3
4,4,3,0.25,18,19,149,59,3
4,4,2,0.1,18,19,78,56,0
4,4,0,0.5,18,19,382,22,0
5,5,3,0.33,133,134,394,98,2
5,5,2,0.1,133,134,502,31,0
5,5,2,0.1,133,134,356,13,0
5,5,1,0.25,133,134,348,7,0
5,5,3,0.25,133,134,679,82,3
5,5,0,0.5,133,134,398,33,0
6,6,2,0.1,12,13,607,43,0
6,6,2,0.1,12,13,528,10,0
6,6,2,0.1,12,13,397,88,0
6,6,4,0.19,12,13,406,34,0
6,6,2,0.1,12,13,297,92,0
6,6,1,0.25,12,13,676,58,0
6,6,1,0.25,12,13,651,89,0
6,6,1,0.25,12,13,217,24,0
6,6,2,0.1,12,13,637,17,0
6,6,2,0.1,12,13,41,80,0
6,6,2,0.1,12,13,570,53,0
6,6,2,0.1,12,13,429,21,0
6,6,2,0.1,12,13,16,65,0
6,6,1,0.25,12,13,650,50,0
6,6,3,0.25,12,13,318,67,3
6,6,2,0.1,12,13,58,86,0
6,6,3,0.25,12,13,96,39,3
6,6,2,0.1,12,13,86,15,0
6,6,1,0.25,12,13,244,38,0
6,6,4,0.33,12,13,113,63,0
6,6,0,0.5,12,13,421,62,0
6,6,2,0.1,12,13,508,79,0
6,6,4,0.06,12,13,149,5,0
6,6,4,0.11,12,13,604,59,0
6,6,2,0.1,12,13,283,27,0
6,6,1,0.25,12,13,351,77,0
6,6,1,0.25,12,13,510,75,0
6,6,1,0.25,12,13,446,47,0
6,6,1,0.25,12,13,578,99,0
7,7,2,0.1,81,82,479,59,0
7,7,1,0.25,81,82,51,29,0
7,7,0,0.5,81,82,284,28,0
7,7,2,0.1,81,82,340,53,0
7,7,2,0.1,81,82,256,50,0
7,7,1,0.25,81,82,188,75,0
7,7,2,0.1,81,82,229,4,0
7,7,0,0.5,81,82,438,69,0
8,8,2,0.1,19,20,494,20,0
8,8,2,0.1,19,20,324,91,0
8,8,3,0.25,19,20,495,10,3
8,8,1,0.25,19,20,317,64,0
8,8,2,0.1,19,20,139,99,0
8,8,2,0.1,19,20,521,35,0
8,8,1,0.25,19,20,81,51,0
8,8,0,0.5,19,20,156,53,0
8,8,3,0.25,19,20,663,15,3
8,8,2,0.1,19,20,296,79,0
8,8,2,0.1,19,20,401,97,0
9,9,1,0.25,113,114,453,60,0
9,9,1,0.25,113,114,111,11,0
9,9,1,0.25,113,114,351,50,0
9,9,2,0.1,113,114,189,31,0
9,9,2,0.1,113,114,128,77,0
9,9,3,0.25,113,114,527,30,3
9,9,2,0.1,113,114,242,67,0
9,9,1,0.25,113,114,1,17,0
9,9,2,0.1,113,114,253,58,0
9,9,2,0.1,113,114,72,78,0
9,9,2,0.1,113,114,408,35,0
9,9,1,0.25,113,114,660,57,0
9,9,1,0.25,113,114,210,68,0
9,9,1,0.25,113,114,681,21,0
9,9,4,0.05,113,114,108,12,0
9,9,2,0.1,113,114,443,39,0
9,9,2,0.1,113,114,437,71,0
9,9,3,0.25,113,114,503,79,3
9,9,2,0.1,113,114,678,8,0
9,9,2,0.1,113,114,273,48,0
9,9,1,0.25,113,114,373,24,0
10,10,4,0.02,61,62,630,66,0
10,10,2,0.1,61,62,602,20,0
10,10,1,0.25,61,62,532,43,0
10,10,2,0.1,61,62,607,49,0
10,10,1,0.25,61,62,444,11,0
10,10,2,0.1,61,62,507,22,0
10,10,1,0.25,61,62,309,35,0
10,10,0,0.5,61,62,180,12,0
10,10,1,0.25,61,62,140,55,0
10,10,1,0.25,61,62,375,25,0
10,10,2,0.1,61,62,257,4,0
10,10,2,0.1,61,62,639,5,0
10,10,0,0.5,61,62,503,10,0
10,10,1,0.25,61,62,81,13,0
10,10,1,0.25,61,62,392,67,0
10,10,4,0.5,61,62,121,32,0
10,10,4,0.08,61,62,317,90,0
10,10,3,0.25,61,62,181,62,3
10,10,3,0.25,61,62,517,26,3
10,10,4,0.06,61,62,50,70,0
10,10,2,0.1,61,62,571,36,0
10,10,1,0.25,61,62,170,17,0
10,10,2,0.1,61,62,232,99,0
10,10,0,0.5,61,62,523,73,0
10,10,2,0.1,61,62,550,21,0
11,11,1,0.25,8,9,480,92,0
11,11,0,0.5,8,9,631,66,0
11,11,4,0.34,8,9,169,57,0
11,11,1,0.25,8,9,649,76,0
12,12,1,0.25,145,146,242,53,0
12,12,4,0.04,145,146,365,14,0
12,12,1,0.25,145,146,633,18,0
12,12,2,0.1,145,146,396,73,0
12,12,2,0.1,145,146,128,43,0
12,12,1,0.25,145,146,306,9,0
12,12,2,0.1,145,146,63,82,0
12,12,4,0.15,145,146,32,2,0
12,12,2,0.1,145,146,346,76,0
13,13,2,0.1,96,97,390,7,0
13,13,2,0.1,96,97,244,57,0
13,13,2,0.1,96,97,565,83,0
13,13,3,0.25,96,97,413,68,3
13,13,0,0.5,96,97,296,27,0
13,13,2,0.1,96,97,341,32,0
13,13,2,0.1,96,97,497,47,0
13,13,2,0.1,96,97,340,41,0
13,13,1,0.25,96,97,569,84,0
13,13,0,0.5,96,97,128,70,0
13,13,1,0.25,96,97,35,8,0
13,13,0,0.5,96,97,279,48,0
13,13,2,0.1,96,97,431,45,0
13,13,1,0.25,96,97,171,39,0
13,13,1,0.25,96,97,582,17,0
13,13,1,0.25,96,97,408,86,0
13,13,2,0.1,96,97,189,36,0
13,13,0,0.5,96,97,570,91,0
13,13,1,0.25,96,97,73,76,0
13,13,0,0.5,96,97,368,23,0
13,13,2,0.1,96,97,298,63,0
13,13,2,0.1,96,97,608,73,0
14,14,0,0.5,115,116,98,18,0
14,14,3,0.25,115,116,115,1,3
14,14,2,0.1,115,116,684,69,0
14,14,1,0.25,115,116,104,47,0
14,14,0,0.5,115,116,521,27,0
14,14,2,0.1,115,116,455,21,0
14,14,2,0.1,115,116,631,9,0
14,14,1,0.25,115,116,262,98,0
14,14,3,0.33,115,116,43,91,2
14,14,2,0.1,115,116,661,20,0
15,15,1,0.25,67,68,38,67,0
15,15,4,0.18,67,68,272,75,0
15,15,2,0.1,67,68,682,42,0
15,15,2,0.1,67,68,588,60,0
15,15,2,0.1,67,68,196,30,0
15,15,2,0.1,67,68,501,61,0
15,15,2,0.1,67,68,617,62,0
15,15,4,0.5,67,68,121,9,0
15,15,2,0.1,67,68,672,33,0
15,15,1,0.25,67,68,227,10,0
15,15,1,0.25,67,68,116,50,0
15,15,2,0.1,67,68,448,79,0
15,15,3,0.25,67,68,346,13,3
15,15,1,0.25,67,68,487,16,0
